x,y,rho,ux,uy
74,1,0.896744,0.00141889,-0.000166086
75,1,0.896497,0.00173963,-0.000140605
76,1,0.896248,0.00201247,-0.000114461
77,1,0.895997,0.00223639,-8.80828e-05
78,1,0.89575,0.00241114,-6.18801e-05
79,1,0.895507,0.00253718,-3.62307e-05
80,1,0.895271,0.00261566,-1.14729e-05
81,1,0.895046,0.00264834,1.21006e-05
82,1,0.894832,0.00263747,3.42463e-05
83,1,0.894631,0.00258577,5.477e-05
84,1,0.894444,0.0024963,7.35245e-05
85,1,0.894274,0.0023724,9.04038e-05
86,1,0.894119,0.00221763,0.000105334
87,1,0.893983,0.00203572,0.000118262
88,1,0.893863,0.00183054,0.000129147
89,1,0.893763,0.00160608,0.000137954
90,1,0.89368,0.00136639,0.000144648
91,1,0.893617,0.0011156,0.000149258
92,1,0.893572,0.000857729,0.000152272
93,1,0.893546,0.000595765,0.000156011
94,1,0.893542,0.00032792,0.000166654
95,1,0.893573,4.09563e-05,0.000194728
96,1,0.893661,-0.000283028,0.000254627
97,1,0.893751,-0.000600462,0.000440759
98,1,0.893582,-0.000711631,0.000710774
99,1,0.893974,0,0.00135661
0,2,0.899932,0,0.000324404
1,2,0.900098,0.00040961,0.000550817
2,2,0.900057,0.000526062,0.000328166
3,2,0.899972,0.000572178,0.000183786
4,2,0.899941,0.00059749,8.79253e-05
5,2,0.899901,0.000607581,3.32239e-05
6,2,0.899853,0.000605572,1.744e-05
7,2,0.899802,0.000591524,2.57656e-05
8,2,0.899746,0.000559569,4.69298e-05
9,2,0.899686,0.000503553,7.4436e-05
10,2,0.89962,0.000419656,0.000104861
11,2,0.899549,0.000306037,0.00013642
12,2,0.899474,0.000161957,0.000168207
13,2,0.899395,-1.27705e-05,0.000199805
14,2,0.899311,-0.000218072,0.00023108
15,2,0.899225,-0.000453788,0.000262057
16,2,0.899134,-0.000719767,0.000292841
17,2,0.899041,-0.00101592,0.00032356
18,2,0.898945,-0.00134224,0.000354333
19,2,0.898846,-0.00169874,0.000385242
20,2,0.898744,-0.00208548,0.00041632
21,2,0.89864,-0.00250247,0.000447543
22,2,0.898533,-0.00294965,0.000478823
23,2,0.898426,-0.0034268,0.000510008
24,2,0.898317,-0.00393352,0.000540884
25,2,0.898207,-0.00446913,0.000571177
26,2,0.898097,-0.00503267,0.000600557
27,2,0.897988,-0.00562282,0.000628642
28,2,0.89788,-0.00623784,0.000655006
29,2,0.897775,-0.00687559,0.000679183
30,2,0.897672,-0.00753346,0.000700675
31,2,0.897573,-0.00820834,0.000718957
32,2,0.89748,-0.00889665,0.000733492
33,2,0.897392,-0.00959427,0.000743731
34,2,0.897311,-0.0102966,0.000749132
35,2,0.897238,-0.0109987,0.000749164
36,2,0.897173,-0.0116949,0.000743322
37,2,0.897119,-0.0123793,0.000731142
38,2,0.897076,-0.0130456,0.000712208
39,2,0.897044,-0.0136872,0.00068617
40,2,0.897024,-0.0142974,0.000652754
41,2,0.897018,-0.014869,0.000611778
42,2,0.897024,-0.0153952,0.000563161
43,2,0.897044,-0.015869,0.000506936
44,2,0.897077,-0.0162834,0.000443259
45,2,0.897123,-0.0166321,0.000372416
46,2,0.897181,-0.016909,0.000294829
47,2,0.897251,-0.0171083,0.000211059
48,2,0.897331,-0.0172251,0.000121804
49,2,0.89742,-0.0172552,2.79005e-05
50,2,0.897517,-0.0171953,-6.96886e-05
51,2,0.897618,-0.017043,-0.000169881
52,2,0.897722,-0.0167968,-0.000271487
53,2,0.897828,-0.0164566,-0.000373232
54,2,0.897931,-0.0160232,-0.000473769
55,2,0.898029,-0.0154988,-0.000571707
56,2,0.89812,-0.0148868,-0.000665636
57,2,0.898201,-0.0141916,-0.000754154
58,2,0.89827,-0.0134191,-0.000835897
59,2,0.898323,-0.012576,-0.000909569
60,2,0.898359,-0.0116704,-0.000973973
61,2,0.898375,-0.0107111,-0.00102804
62,2,0.898371,-0.00970775,-0.00107086
63,2,0.898344,-0.00867081,-0.0011017
64,2,0.898294,-0.00761118,-0.00112003
65,2,0.898221,-0.00654012,-0.00112554
66,2,0.898124,-0.00546907,-0.00111816
67,2,0.898005,-0.00440944,-0.00109805
68,2,0.897863,-0.00337243,-0.0010656
69,2,0.897701,-0.00236882,-0.00102145
70,2,0.89752,-0.00140877,-0.000966422
71,2,0.897323,-0.000501706,-0.00090156
72,2,0.897112,0.000343902,-0.000828063
73,2,0.896889,0.00112064,-0.000747267
74,2,0.896658,0.00182227,-0.000660608
75,2,0.896421,0.0024438,-0.000569582
76,2,0.896181,0.00298155,-0.000475708
77,2,0.895941,0.00343316,-0.000380485
78,2,0.895703,0.00379757,-0.000285357
79,2,0.89547,0.00407499,-0.000191681
80,2,0.895245,0.00426681,-0.000100693
81,2,0.895029,0.00437552,-1.34915e-05
82,2,0.894825,0.0044046,6.89764e-05
83,2,0.894633,0.00435839,0.000145921
84,2,0.894455,0.00424199,0.000216702
85,2,0.894291,0.00406109,0.000280812
86,2,0.894144,0.00382195,0.000337848
87,2,0.894013,0.00353125,0.000387481
88,2,0.8939,0.00319612,0.000429421
89,2,0.893803,0.00282404,0.000463399
90,2,0.893724,0.00242292,0.000489201
